instance_index,tempo_original,tempo_relaxado,len_original,len_relaxado,delta
0.0,4.528855085372925,1.009247064590454,46.0,64.0,0.5
1.0,6.124191999435425,0.8022279739379883,43.0,64.0,0.5
2.0,4.011743545532227,0.7667171955108643,45.0,64.0,0.5
3.0,4.236372947692871,0.8018715381622314,45.0,64.0,0.5
4.0,3.782717943191528,0.7743029594421387,45.0,64.0,0.5
5.0,5.6030113697052,0.7969505786895752,43.0,64.0,0.5
6.0,5.832288265228272,0.7298977375030518,41.0,64.0,0.5
7.0,4.555602073669434,0.8669264316558838,40.0,41.0,0.5
8.0,5.45025372505188,0.7591700553894043,44.0,64.0,0.5
9.0,2.252082347869873,0.9227712154388428,51.0,64.0,0.5
10.0,6.940133094787598,0.8698034286499023,44.0,64.0,0.5
11.0,5.254861354827881,0.7656345367431641,44.0,64.0,0.5
12.0,4.036163806915283,0.8278446197509766,46.0,64.0,0.5
13.0,4.484382152557373,0.7503728866577148,46.0,64.0,0.5
14.0,4.563562393188477,0.7553231716156006,45.0,64.0,0.5
15.0,7.477821111679077,0.9047207832336426,43.0,64.0,0.5
16.0,5.48414945602417,1.113654375076294,46.0,64.0,0.5
17.0,7.065155029296875,0.9501478672027588,43.0,64.0,0.5
18.0,5.980693340301514,1.188327074050903,43.0,64.0,0.5
19.0,4.083904266357422,0.8740670680999756,43.0,64.0,0.5
20.0,5.859405040740967,0.9186408519744872,46.0,64.0,0.5
21.0,5.464521408081055,0.8623270988464355,45.0,64.0,0.5
22.0,5.94047474861145,0.8425178527832031,40.0,64.0,0.5
23.0,3.707384824752808,1.0374183654785156,46.0,64.0,0.5
24.0,2.960042715072632,0.9151158332824708,48.0,64.0,0.5
25.0,3.694526672363281,0.9217181205749512,48.0,64.0,0.5
26.0,4.700931549072266,1.1041250228881836,44.0,64.0,0.5
27.0,5.218173265457153,0.8504617214202881,45.0,64.0,0.5
28.0,3.8429455757141113,0.9978046417236328,50.0,64.0,0.5
29.0,4.299931287765503,0.890352725982666,44.0,64.0,0.5
30.0,10.350909948349,0.9183716773986816,40.0,64.0,0.5
31.0,4.715194463729858,0.9065496921539308,45.0,64.0,0.5
32.0,3.627039670944214,1.280221939086914,46.0,35.0,0.5
33.0,5.496272802352905,1.4660065174102783,44.0,64.0,0.5
34.0,6.549081087112427,1.2258808612823486,43.0,64.0,0.5
35.0,11.040866613388062,1.91243577003479,40.0,36.0,0.5
36.0,9.178749561309814,1.2944421768188477,41.0,64.0,0.5
37.0,6.4765143394470215,1.5278375148773191,46.0,64.0,0.5
38.0,3.618294954299927,1.9323186874389648,54.0,64.0,0.5
39.0,9.526440143585203,1.0072736740112305,40.0,64.0,0.5
40.0,7.139429807662964,1.202869892120361,40.0,43.0,0.5
41.0,6.3849053382873535,1.3109855651855469,44.0,64.0,0.5
42.0,10.102936029434204,1.171722650527954,39.0,29.0,0.5
43.0,6.508989572525024,1.0170130729675293,45.0,64.0,0.5
44.0,5.168931484222412,1.2611594200134275,43.0,64.0,0.5
45.0,3.914127111434937,1.0671391487121582,49.0,64.0,0.5
46.0,11.068949699401855,1.697571039199829,44.0,64.0,0.5
47.0,6.439058065414429,1.0716314315795898,50.0,64.0,0.5
48.0,4.133272409439087,2.7068660259246826,47.0,64.0,0.5
49.0,5.240929841995239,1.2291648387908936,46.0,64.0,0.5
50.0,10.300994873046877,1.401289463043213,40.0,64.0,0.5
51.0,5.760825872421265,0.909970760345459,45.0,64.0,0.5
52.0,5.401778221130371,0.922032356262207,43.0,64.0,0.5
53.0,9.713764190673828,0.9801499843597412,41.0,64.0,0.5
54.0,6.509365081787109,0.973210334777832,44.0,64.0,0.5
55.0,8.597225427627563,1.138580560684204,37.0,38.0,0.5
56.0,5.951117038726807,1.0020203590393066,42.0,64.0,0.5
57.0,3.895988941192627,1.0072369575500488,47.0,64.0,0.5
58.0,5.099480390548706,1.0339207649230957,46.0,64.0,0.5
59.0,5.008896827697754,1.4718406200408936,44.0,64.0,0.5
60.0,6.450730800628662,2.1923940181732178,48.0,64.0,0.5
61.0,7.609307289123535,1.3479108810424805,45.0,64.0,0.5
62.0,3.986576557159424,0.9444823265075684,48.0,64.0,0.5
63.0,5.304490804672241,1.060779333114624,46.0,64.0,0.5
64.0,6.083589553833008,0.9804480075836182,46.0,64.0,0.5
65.0,7.039283275604248,0.9050254821777344,43.0,64.0,0.5
66.0,6.349200487136841,1.1627912521362305,45.0,64.0,0.5
67.0,3.6170578002929688,0.8980457782745361,48.0,64.0,0.5
68.0,3.976377248764038,0.8283658027648926,46.0,64.0,0.5
69.0,2.46107029914856,0.93790602684021,51.0,64.0,0.5
70.0,5.604152202606201,1.0865449905395508,44.0,64.0,0.5
71.0,5.630324125289917,0.7818305492401123,43.0,64.0,0.5
72.0,4.970185279846191,0.8969438076019287,39.0,45.0,0.5
73.0,4.060762882232666,0.7818632125854492,46.0,64.0,0.5
74.0,2.872739553451538,0.7827150821685791,49.0,64.0,0.5
75.0,3.076260089874268,0.7803115844726562,47.0,64.0,0.5
76.0,4.737677335739136,0.7557716369628906,48.0,64.0,0.5
77.0,9.51220202445984,0.8520758152008057,43.0,64.0,0.5
78.0,2.4950592517852783,1.1214444637298584,53.0,64.0,0.5
79.0,3.768675804138184,0.8190739154815674,46.0,64.0,0.5
80.0,4.699772596359253,0.8622169494628906,45.0,64.0,0.5
81.0,6.348956108093262,0.8327791690826416,43.0,64.0,0.5
82.0,8.046304702758789,0.7855772972106934,41.0,64.0,0.5
83.0,5.401125192642212,0.7845621109008789,44.0,64.0,0.5
84.0,3.941977262496948,0.806006908416748,49.0,64.0,0.5
85.0,4.360795497894287,1.5780274868011477,51.0,64.0,0.5
86.0,6.678619623184204,1.0257055759429932,39.0,39.0,0.5
87.0,3.5317201614379883,0.8445217609405518,46.0,64.0,0.5
88.0,5.925544261932373,0.8328151702880859,43.0,64.0,0.5
89.0,5.028144836425781,0.7929553985595703,42.0,64.0,0.5
90.0,5.925538063049316,0.9443404674530028,41.0,43.0,0.5
91.0,3.807169198989868,0.7959315776824951,44.0,64.0,0.5
92.0,3.065845251083374,1.1564843654632568,49.0,64.0,0.5
93.0,4.917139291763306,0.998035192489624,42.0,30.0,0.5
94.0,3.409307718276977,0.890505313873291,50.0,64.0,0.5
95.0,4.745816707611084,0.8029968738555908,46.0,64.0,0.5
96.0,8.404209613800049,0.7924938201904297,40.0,64.0,0.5
97.0,4.406665325164795,0.8618927001953125,44.0,64.0,0.5
98.0,5.202961921691895,0.7944934368133545,43.0,64.0,0.5
99.0,3.622288227081299,0.8687739372253418,49.0,64.0,0.5
100.0,4.835299015045166,1.0093963146209717,44.0,64.0,0.5
101.0,3.5584516525268555,0.8687174320220947,46.0,64.0,0.5
102.0,4.763254642486572,0.7486617565155029,44.0,64.0,0.5
103.0,4.252212762832642,0.7302396297454834,46.0,64.0,0.5
104.0,5.6281678676605225,0.7707531452178955,43.0,64.0,0.5
105.0,7.629257440567017,0.9418179988861084,38.0,38.0,0.5
106.0,3.324090003967285,0.7911062240600586,47.0,64.0,0.5
107.0,3.839385747909546,0.7718610763549805,44.0,64.0,0.5
108.0,4.771025657653809,0.828819990158081,47.0,64.0,0.5
109.0,3.1908535957336426,0.77469801902771,47.0,64.0,0.5
110.0,4.920343399047852,0.8967735767364502,45.0,64.0,0.5
111.0,2.9448859691619877,0.7584640979766846,48.0,64.0,0.5
112.0,6.053376913070679,0.8355615139007568,44.0,64.0,0.5
113.0,4.506011486053467,0.8525509834289551,45.0,64.0,0.5
114.0,3.104102373123169,0.7971062660217285,48.0,64.0,0.5
115.0,5.35897970199585,0.8172430992126465,44.0,64.0,0.5
116.0,2.8191781044006348,0.794797420501709,46.0,64.0,0.5
117.0,8.776681184768677,0.7783477306365967,41.0,64.0,0.5
118.0,2.7535102367401123,0.7941720485687256,47.0,64.0,0.5
119.0,7.751152038574219,0.7510190010070801,37.0,64.0,0.5
120.0,2.5665383338928223,1.0294725894927979,48.0,44.0,0.5
121.0,7.3870203495025635,1.2755012512207031,40.0,64.0,0.5
122.0,4.2517054080963135,0.7725400924682617,46.0,64.0,0.5
123.0,2.840625286102295,0.7777574062347412,51.0,64.0,0.5
124.0,4.84827184677124,0.9487993717193604,45.0,41.0,0.5
125.0,5.242299795150757,0.7594037055969238,48.0,64.0,0.5
126.0,3.9457967281341553,0.775942325592041,49.0,64.0,0.5
127.0,5.448070049285889,0.7942402362823486,44.0,64.0,0.5
128.0,4.897525787353516,0.847508430480957,43.0,64.0,0.5
129.0,3.172696352005005,0.8255481719970703,50.0,64.0,0.5
130.0,2.8593711853027344,0.8621606826782227,47.0,64.0,0.5
131.0,3.4554548263549805,0.790905237197876,47.0,64.0,0.5
132.0,5.129132509231567,0.806006669998169,43.0,64.0,0.5
133.0,3.576981782913208,0.7620306015014648,46.0,64.0,0.5
134.0,6.371504306793213,0.9438514709472656,38.0,37.0,0.5
135.0,6.357558727264404,0.971308708190918,38.0,42.0,0.5
136.0,7.774134397506714,0.7954399585723877,41.0,64.0,0.5
137.0,7.228265047073364,0.9422523975372314,38.0,35.0,0.5
138.0,5.756101369857788,0.7980349063873291,43.0,64.0,0.5
139.0,3.4034223556518555,0.8006348609924316,47.0,64.0,0.5
140.0,2.1701557636260986,0.7659881114959717,52.0,64.0,0.5
141.0,3.53167986869812,0.8638718128204346,50.0,64.0,0.5
142.0,4.565820217132568,0.7758452892303467,44.0,64.0,0.5
143.0,12.420348882675171,1.1416516304016113,40.0,64.0,0.5
144.0,6.283992290496826,0.9304547309875488,40.0,37.0,0.5
145.0,3.5205278396606445,0.7968289852142334,45.0,64.0,0.5
146.0,7.1742167472839355,0.8436703681945801,45.0,64.0,0.5
147.0,7.919728994369507,1.1737151145935059,41.0,64.0,0.5
148.0,18.128069162368774,0.8395087718963623,41.0,64.0,0.5
149.0,6.998006105422974,0.8095226287841797,41.0,64.0,0.5
150.0,4.311843633651733,0.7260446548461914,46.0,64.0,0.5
151.0,5.251666784286499,0.7522006034851074,45.0,64.0,0.5
152.0,5.129002094268799,0.7904860973358154,45.0,64.0,0.5
153.0,2.855048894882202,0.7683811187744141,47.0,64.0,0.5
154.0,3.883308172225952,0.8225953578948975,47.0,64.0,0.5
155.0,4.969094514846802,0.8172469139099121,46.0,64.0,0.5
156.0,2.309152603149414,0.749828577041626,53.0,64.0,0.5
157.0,2.6530890464782715,0.7713263034820557,50.0,64.0,0.5
158.0,4.869156360626221,0.7619788646697998,43.0,64.0,0.5
159.0,6.690294504165649,0.9318571090698242,40.0,39.0,0.5
160.0,2.5480713844299316,0.8250517845153809,48.0,64.0,0.5
161.0,4.8053460121154785,0.784031867980957,45.0,64.0,0.5
162.0,5.333700180053711,0.7549943923950195,42.0,64.0,0.5
163.0,5.158048152923584,0.722294807434082,47.0,64.0,0.5
164.0,4.825545072555542,0.8475210666656494,44.0,64.0,0.5
165.0,2.8082621097564697,0.7296617031097412,50.0,64.0,0.5
166.0,2.4457693099975586,1.0694911479949951,50.0,64.0,0.5
167.0,4.10626220703125,0.8130755424499512,43.0,64.0,0.5
168.0,2.83233904838562,0.7450499534606934,50.0,64.0,0.5
169.0,6.826184034347534,0.9149224758148193,39.0,42.0,0.5
